manga_id,title_romaji,sales_circulation,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes,sales_source
140475,Kaoru Hana wa Rin to Saku,"5,000,000",The Fragrant Flower Blooms With Dignity,薫る花は凛と咲く,MANGA,64145,88,10/21/21,,RELEASING,0,0,https://en.wikipedia.org/wiki/The_Fragrant_Flower_Blooms_with_Dignity
143701,Kizumonogatari,"2,400,000",Kizumonogatari: Wound Tale,傷物語,NOVEL,4708,88,5/7/08,5/7/08,FINISHED,18,1,https://en.wikipedia.org/wiki/List_of_Monogatari_novels
143726,Koimonogatari,,Koimonogatari: Love Tale,恋物語,NOVEL,2351,88,12/20/11,12/20/11,FINISHED,39,1,https://en.wikipedia.org/wiki/List_of_Monogatari_novels
30007,Hajime no Ippo,"100,000,000",Hajime no Ippo: Fighting Spirit!,はじめの一歩,MANGA,32059,87,9/27/89,,RELEASING,0,0,https://en.wikipedia.org/wiki/Hajime_no_Ippo
37375,Kokou no Hito,,The Climber,孤高の人,MANGA,59700,87,11/1/07,11/10/11,FINISHED,170,17,https://en.wikipedia.org/wiki/The_Climber_(manga)
39115,Ookami to Koushinryou,"5,000,000",Spice & Wolf,狼と香辛料,NOVEL,17524,87,2/10/06,,RELEASING,0,0,https://en.wikipedia.org/wiki/Spice_and_Wolf
44893,Bakemonogatari,"66,000",Bakemonogatari: Monster Tale,化物語,NOVEL,18144,87,11/1/06,12/4/06,FINISHED,41,2,https://en.wikipedia.org/wiki/Monogatari_(series)
51525,Akatsuki no Yona,"14,000,000",Yona of the Dawn,暁のヨナ,MANGA,49151,87,8/5/09,12/19/25,RELEASING,0,0,https://en.wikipedia.org/wiki/Yona_of_the_Dawn
53900,Umineko no Naku Koro ni Chiru Episode 7: Requiem of the Golden Witch,,Umineko When They Cry Episode 7: Requiem of the Golden Witch,うみねこのなく頃に散 - Episode 7: Requiem of the Golden Witch,MANGA,6812,87,4/12/11,3/12/15,FINISHED,48,9,https://en.wikipedia.org/wiki/Umineko_When_They_Cry
75143,Kono Oto Tomare!,"7,500,000",Not Recorded,この音とまれ！,MANGA,21791,87,8/4/12,,RELEASING,0,0,
85135,Koe no Katachi,,A Silent Voice,聲の形,MANGA,84498,87,8/7/13,11/19/14,FINISHED,64,7,https://en.wikipedia.org/wiki/A_Silent_Voice_(film)
85737,Re:Zero kara Hajimeru Isekai Seikatsu,"13,000,000",Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,NOVEL,26232,87,1/24/14,,RELEASING,0,0,https://en.wikipedia.org/wiki/Re:Zero
110802,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 4-bu - Kizoku-in no Jishou Tosho Iin,"11,000,000",Ascendance of a Bookworm: Part 4,本好きの下剋上~司書になるためには手段を選んでいられません~第四部「貴族院の自称図書委員」,NOVEL,1980,87,12/9/17,12/10/19,FINISHED,209,9,https://en.wikipedia.org/wiki/Ascendance_of_a_Bookworm
112275,Tian Guan Ci Fu,,Heaven Official's Blessing,天官赐福,MANGA,18152,87,10/19/19,,RELEASING,0,0,https://en.wikipedia.org/wiki/Heaven_Official%27s_Blessing
116170,Veil,,Veil,Veil,MANGA,16337,87,5/14/18,,RELEASING,0,0,https://en.wikipedia.org/wiki/Veil
118371,Medalist,,Medalist,メダリスト,MANGA,10726,87,5/25/20,,RELEASING,0,0,https://en.wikipedia.org/wiki/Medalist
118586,Sousou no Frieren,"30,000,000",Frieren: Beyond Journey’s End,葬送のフリーレン,MANGA,74246,87,4/28/20,,RELEASING,0,0,
143747,Owarimonogatari,"2,400,000",Owarimonogatari: End Tale,終物語,NOVEL,2131,87,10/21/13,4/1/14,FINISHED,117,3,https://en.wikipedia.org/wiki/List_of_Monogatari_novels
143838,Kubishime Romanticist: Ningen Shikkaku - Zerozaki Hitoshiki,"36,000,000",Strangulation: Kubishime Romanticist,クビシメロマンチスト　人間失格・零崎人識,NOVEL,3098,87,5/8/02,5/8/02,FINISHED,9,1,https://en.wikipedia.org/wiki/Nisio_Isin
