manga_id,title_romaji,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes
75143,Kono Oto Tomare!,Not Recorded,この音とまれ！,MANGA,21791,87,2012-08-04,,RELEASING,0.0,0.0
85135,Koe no Katachi,A Silent Voice,聲の形,MANGA,84498,87,2013-08-07,2014-11-19,FINISHED,64.0,7.0
85737,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,NOVEL,26232,87,2014-01-24,,RELEASING,0.0,0.0
110802,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 4-bu - Kizoku-in no Jishou Tosho Iin,Ascendance of a Bookworm: Part 4,本好きの下剋上~司書になるためには手段を選んでいられません~第四部「貴族院の自称図書委員」,NOVEL,1980,87,2017-12-09,2019-12-10,FINISHED,209.0,9.0
112275,Tian Guan Ci Fu,Heaven Official's Blessing,天官赐福,MANGA,18152,87,2019-10-19,,RELEASING,0.0,0.0
116170,Veil,Veil,Veil,MANGA,16337,87,2018-05-14,,RELEASING,0.0,0.0
118371,Medalist,Medalist,メダリスト,MANGA,10726,87,2020-05-25,,RELEASING,0.0,0.0
118586,Sousou no Frieren,Frieren: Beyond Journey’s End,葬送のフリーレン,MANGA,74246,87,2020-04-28,,RELEASING,0.0,0.0
143747,Owarimonogatari,Owarimonogatari: End Tale,終物語,NOVEL,2131,87,2013-10-21,2014-04-01,FINISHED,117.0,3.0
143838,Kubishime Romanticist: Ningen Shikkaku - Zerozaki Hitoshiki,Strangulation: Kubishime Romanticist,クビシメロマンチスト　人間失格・零崎人識,NOVEL,3098,87,2002-05-08,2002-05-08,FINISHED,9.0,1.0
