id,title_romaji,title_english,average_score,genres,start_year,status,chapters,volumes,staff_names
65243,Haikyuu!!,Haikyu!!,89,"Comedy, Drama, Sports",2012,FINISHED,404.0,45.0,"Haruichi Furudate, Atsushi Namikiri, Tasuku Sugie, Yumiya  Tashiro, Ryouta Ikeda, Adrienne Beck, Christian Biscaro, Edoardo Serino, Erika Terriquez, Sandra Nogués Graell, Renata Leitão, Ruyuha Kyouka, Rae First, Etsuko Tabuchi, Florian Weitschies, Aleksandra Stawska"
87395,Grand Blue,Grand Blue Dreaming,88,"Comedy, Romance, Slice of Life, Sports",2014,RELEASING,,,"Kenji Inoue, Kimitake Yoshioka, Jan Ivan Concepcion, Adam Hirsch, Dariusz Latoś"
31303,Ashita no Joe,Ashita no Joe: Fighting for Tomorrow,88,"Drama, Slice of Life, Sports",1968,FINISHED,171.0,20.0,"Ikki Kajiwara, Sanbanchi Kawa, Tetsuya Chiba, Akio Chiba, Teruo Miyahara, Marc Bernabé"
135129,Vagabond: Saigo no Manga-ten,,88,"Action, Drama, Psychological",2008,FINISHED,2.0,2.0,Takehiko Inoue
30104,Yotsuba to!,Yotsuba&!,88,"Comedy, Slice of Life",2003,RELEASING,,,"Kiyohiko Azuma, Stephen Paul, Amy Forsyth, Eve Chauviré, Anna Piechowiak, Marcus Wehner, Véronique Pérez"
98361,Mikkakan no Koufuku,Three Days of Happiness,88,"Drama, Psychological, Romance, Slice of Life, Supernatural",2013,FINISHED,15.0,1.0,"Sugaru Miaki, E9L, Stephen Paul"
143726,Koimonogatari,Koimonogatari: Love Tale,88,"Action, Comedy, Drama, Psychological, Supernatural",2011,FINISHED,39.0,1.0,"NISIOISIN, VOFAN, Daniel Joseph"
143701,Kizumonogatari,Kizumonogatari: Wound Tale,88,"Action, Mystery, Romance, Supernatural",2008,FINISHED,18.0,1.0,"NISIOISIN, VOFAN, Ko Ransom"
53751,Nekomonogatari: Shiro,Nekomonogatari: Cat Tale (White),88,"Comedy, Mystery, Psychological, Romance, Supernatural",2010,FINISHED,40.0,1.0,"NISIOISIN, VOFAN, Ko Ransom"
34632,Oyasumi Punpun,Goodnight Punpun,88,"Drama, Psychological, Slice of Life",2007,FINISHED,147.0,13.0,"Inio Asano, Hiro Kashiwaba, Marc Bernabé, Thibaud Desbief, Edward Kondo, Annaliese Christman, JN Productions, Sakura Ilgert"
30028,NANA,Nana,88,"Drama, Music, Romance, Slice of Life",2000,RELEASING,,,"Ai Yazawa, Tomo Kimura, Sabrina Heep, Ayako Koike, Trait pour Trait, Hilal Öndoğan, Koji Goto, Simona Maccaroni, My Bergström, Sahé Cibot, Anna Piechowiak"
