manga_id,title_romaji,sales_circulation,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes,sales_source
98416,Dr. STONE,"19,000,000.00",Dr. STONE,Dr.STONE,MANGA,82867,81,3/6/17,4/4/24,FINISHED,236,27,https://en.wikipedia.org/wiki/Dr._Stone
132029,Dandadan,"2,000,000.00",Dandadan,ダンダダン,MANGA,102718,83,4/6/21,,RELEASING,0,0,https://en.wikipedia.org/wiki/Dandadan
143701,Kizumonogatari,"2,400,000",Kizumonogatari: Wound Tale,傷物語,NOVEL,4708,88,5/7/08,5/7/08,FINISHED,18,1,https://en.wikipedia.org/wiki/List_of_Monogatari_novels
143747,Owarimonogatari,"2,400,000",Owarimonogatari: End Tale,終物語,NOVEL,2131,87,10/21/13,4/1/14,FINISHED,117,3,https://en.wikipedia.org/wiki/List_of_Monogatari_novels
31303,Ashita no Joe,"20,000,000",Ashita no Joe: Fighting for Tomorrow,あしたのジョー,MANGA,26697,88,1/1/68,5/13/73,FINISHED,171,20,https://en.wikipedia.org/wiki/Ashita_no_Joe
117195,[Oshi no Ko],"20,000,000.00",[Oshi no Ko],【推しの子】,MANGA,97591,78,4/23/20,11/14/24,FINISHED,168,16,
86635,Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,"22,000,000",Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,MANGA,110511,88,5/19/15,11/2/22,FINISHED,281,28,https://en.wikipedia.org/wiki/Kaguya-sama:_Love_Is_War
87216,Kimetsu no Yaiba,"220,000,000.00",Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,MANGA,195328,79,2/15/16,5/18/20,FINISHED,207,23,https://en.wikipedia.org/wiki/Demon_Slayer:_Kimetsu_no_Yaiba_%E2%80%93_The_Movie:_Infinity_Castle
86123,Black Clover,"24,000,000.00",Black Clover,ブラッククローバー,MANGA,98369,77,2/16/15,,RELEASING,0,0,https://en.wikipedia.org/wiki/Black_Clover
30011,NARUTO,"250,000,000.00",Naruto,NARUTO -ナルト-,MANGA,91214,79,9/21/99,11/10/14,FINISHED,700,72,https://en.wikipedia.org/wiki/Naruto
