manga_id,genre
143722,Supernatural
132288,Comedy
132288,Drama
132288,Slice of Life
105398,Action
105398,Adventure
105398,Fantasy
30756,Action
30756,Adventure
30756,Drama
30756,Psychological
30756,Thriller
30102,Comedy
30102,Drama
30102,Psychological
30102,Romance
30102,Supernatural
85134,Action
85134,Mystery
85134,Psychological
85134,Romance
85134,Supernatural
85134,Thriller
51498,Drama
51498,Fantasy
51498,Horror
51498,Mystery
33031,Action
33031,Adventure
33031,Drama
33031,Fantasy
33031,Mystery
33031,Psychological
33031,Supernatural
132144,Action
132144,Adventure
132144,Fantasy
99559,Drama
99559,Fantasy
99559,Mahou Shoujo
99559,Psychological
85850,Comedy
85850,Romance
85850,Slice of Life
55515,Action
55515,Adventure
55515,Drama
55515,Mystery
55515,Supernatural
30698,Action
30698,Drama
30698,Mecha
30698,Mystery
30698,Psychological
30698,Sci-Fi
98842,Action
98842,Comedy
98842,Drama
98842,Mystery
98842,Romance
98842,Supernatural
94490,Action
94490,Comedy
94490,Drama
94490,Romance
85976,Action
85976,Adventure
85976,Comedy
85976,Fantasy
85976,Horror
85976,Supernatural
35744,Drama
35744,Psychological
35744,Sports
143842,Action
143842,Drama
143842,Psychological
143842,Supernatural
136109,Drama
136109,Romance
136109,Slice of Life
101563,Action
101563,Adventure
101563,Comedy
101563,Drama
101563,Mystery
101563,Supernatural
86890,Drama
86890,Music
86890,Slice of Life
63327,Action
63327,Horror
63327,Mystery
63327,Psychological
63327,Supernatural
30664,Action
30664,Horror
30664,Psychological
30664,Sci-Fi
86238,Adventure
86238,Comedy
86238,Ecchi
86238,Fantasy
86238,Romance
33006,Action
33006,Adventure
33006,Mystery
33006,Supernatural
106726,Comedy
106726,Psychological
106726,Slice of Life
74227,Comedy
74227,Mystery
74227,Psychological
74227,Supernatural
51499,Drama
51499,Horror
51499,Mystery
51499,Supernatural
45547,Drama
45547,Psychological
108251,Drama
108251,Romance
53390,Action
53390,Drama
53390,Fantasy
53390,Mystery
38157,Comedy
38157,Fantasy
38157,Romance
38157,Supernatural
30021,Drama
30021,Mystery
30021,Psychological
30021,Supernatural
30021,Thriller
103192,Drama
103192,Romance
103192,Slice of Life
87208,Drama
87208,Psychological
87208,Slice of Life
86355,Adventure
86355,Comedy
86355,Fantasy
39726,Action
39726,Comedy
39726,Drama
39726,Mystery
39726,Psychological
145163,Comedy
145163,Psychological
145163,Romance
145163,Supernatural
118408,Drama
118408,Fantasy
118408,Psychological
118408,Romance
98370,Comedy
98370,Romance
98370,Slice of Life
66413,Comedy
66413,Sci-Fi
66413,Slice of Life
66413,Supernatural
37482,Drama
37482,Psychological
143763,Action
143763,Comedy
143763,Drama
143763,Mystery
143763,Supernatural
126399,Drama
126399,Romance
117324,Comedy
117324,Slice of Life
113533,Comedy
113533,Romance
113533,Slice of Life
111189,Romance
111189,Slice of Life
92550,Romance
92550,Slice of Life
85307,Action
85307,Drama
85307,Mystery
85307,Supernatural
33571,Drama
33571,Psychological
31342,Action
31342,Adventure
31342,Mystery
31342,Supernatural
165131,Action
165131,Drama
165131,Ecchi
165131,Fantasy
107521,Comedy
107521,Fantasy
107521,Romance
87217,Drama
87217,Psychological
68071,Action
68071,Comedy
68071,Romance
68071,Sci-Fi
68071,Supernatural
33572,Drama
33572,Psychological
33572,Thriller
30042,Action
30042,Adventure
30042,Comedy
30042,Fantasy
30042,Sci-Fi
30042,Supernatural
145164,Comedy
145164,Drama
145164,Psychological
145164,Romance
145164,Supernatural
136807,Drama
136807,Slice of Life
123117,Action
123117,Drama
123117,Mystery
123117,Supernatural
119174,Action
119174,Drama
119174,Sports
86568,Action
86568,Drama
86568,Fantasy
86568,Mystery
86568,Supernatural
86036,Comedy
86036,Drama
86036,Music
74307,Drama
74307,Slice of Life
48200,Comedy
48200,Drama
48200,Romance
48200,Slice of Life
30399,Adventure
30399,Drama
30399,Fantasy
30399,Mystery
30399,Psychological
30399,Sci-Fi
30214,Action
30214,Drama
30214,Mecha
30214,Sci-Fi
171729,Action
171729,Drama
171729,Romance
171729,Supernatural
109921,Comedy
109921,Romance
86964,Drama
86964,Horror
86964,Mystery
86964,Psychological
86964,Romance
86964,Thriller
31325,Drama
31325,Fantasy
31325,Romance
31325,Sci-Fi
123125,Action
123125,Drama
123125,Mystery
123125,Supernatural
108556,Action
108556,Comedy
108556,Slice of Life
108556,Supernatural
98544,Mystery
98544,Psychological
98544,Thriller
87347,Drama
87347,Music
87347,Romance
87347,Slice of Life
50006,Action
50006,Adventure
50006,Fantasy
50006,Mystery
50006,Supernatural
159441,Action
159441,Adventure
159441,Fantasy
129574,Comedy
108027,Comedy
108027,Romance
108027,Slice of Life
101131,Adventure
101131,Fantasy
99324,Comedy
99324,Fantasy
98351,Comedy
98351,Slice of Life
33299,Adventure
33299,Drama
33299,Fantasy
33299,Romance
33299,Supernatural
33082,Comedy
33082,Slice of Life
177706,Action
177706,Fantasy
149544,Music
149544,Romance
132029,Action
132029,Comedy
132029,Drama
132029,Romance
132029,Sci-Fi
132029,Supernatural
110473,Romance
110473,Slice of Life
108551,Drama
108551,Mystery
108428,Action
108428,Comedy
108428,Fantasy
99609,Drama
99609,Romance
99609,Slice of Life
97298,Drama
97298,Fantasy
85611,Action
85611,Drama
85611,Horror
85611,Mystery
85611,Psychological
85611,Supernatural
47051,Comedy
47051,Slice of Life
41327,Psychological
41327,Sports
33083,Comedy
33083,Psychological
33083,Sci-Fi
33083,Slice of Life
33083,Supernatural
168843,Drama
168843,Romance
168843,Sci-Fi
113891,Action
113891,Comedy
113891,Fantasy
113891,Sci-Fi
104241,Drama
104241,Romance
104241,Slice of Life
33649,Action
33649,Drama
33649,Fantasy
33649,Romance
33573,Drama
33573,Psychological
33573,Thriller
31218,Action
31218,Drama
31218,Psychological
31183,Comedy
31183,Drama
31183,Romance
31183,Sports
30660,Drama
30660,Romance
30658,Action
30658,Adventure
30658,Supernatural
168509,Romance
168509,Slice of Life
143079,Drama
143079,Psychological
143079,Romance
134191,Comedy
134191,Drama
134191,Romance
134191,Slice of Life
116219,Drama
116219,Romance
105747,Drama
105747,Psychological
105747,Slice of Life
105747,Supernatural
45306,Drama
45306,Slice of Life
30974,Action
30974,Adventure
30974,Drama
30974,Fantasy
30974,Romance
30936,Drama
30936,Horror
30936,Mystery
30936,Psychological
30936,Supernatural
146749,Drama
146749,Fantasy
146749,Mystery
146749,Supernatural
128067,Action
128067,Adventure
128067,Drama
128067,Fantasy
128067,Supernatural
109206,Comedy
109206,Fantasy
109206,Romance
101311,Action
101311,Comedy
101311,Drama
101311,Mystery
101311,Romance
101311,Supernatural
87284,Drama
87284,Fantasy
87284,Romance
87284,Slice of Life
87284,Supernatural
65513,Mystery
65513,Slice of Life
36812,Comedy
173062,Comedy
173062,Romance
173062,Slice of Life
86717,Comedy
86717,Romance
86717,Slice of Life
86406,Adventure
86406,Comedy
86406,Fantasy
30030,Comedy
30030,Drama
30030,Romance
30030,Slice of Life
169272,Comedy
169272,Romance
148305,Drama
148305,Fantasy
138705,Comedy
138705,Fantasy
138705,Romance
98741,Adventure
98741,Fantasy
98741,Slice of Life
87350,Drama
87350,Romance
87350,Supernatural
86399,Action
86399,Adventure
86399,Comedy
86399,Fantasy
67707,Drama
67707,Music
67707,Romance
67707,Slice of Life
59211,Comedy
59211,Romance
56704,Drama
46144,Drama
46144,Horror
46144,Mystery
46144,Psychological
40443,Action
40443,Drama
40443,Psychological
33575,Action
33575,Comedy
33575,Drama
33575,Psychological
30869,Action
30869,Adventure
30869,Comedy
30869,Fantasy
138603,Horror
138603,Mystery
138603,Psychological
138603,Supernatural
138603,Thriller
130429,Drama
130429,Fantasy
130429,Romance
106130,Action
106130,Drama
106130,Sports
104045,Fantasy
104045,Romance
86770,Drama
86770,Fantasy
86770,Mystery
42854,Action
42854,Comedy
42854,Fantasy
42854,Romance
42854,Sci-Fi
33378,Comedy
33378,Drama
33378,Romance
33378,Slice of Life
31061,Adventure
31061,Comedy
31061,Mystery
31061,Romance
131640,Drama
131640,Psychological
131640,Slice of Life
104063,Fantasy
104063,Horror
104063,Mystery
104063,Slice of Life
104063,Supernatural
85364,Action
85364,Comedy
85364,Sci-Fi
85364,Supernatural
72451,Comedy
72451,Romance
72451,Slice of Life
46081,Drama
46081,Horror
46081,Mystery
46081,Psychological
35249,Comedy
35249,Drama
35249,Psychological
35249,Slice of Life
30743,Drama
30743,Mystery
30743,Psychological
30743,Sci-Fi
30610,Drama
30610,Romance
138711,Romance
117853,Drama
117853,Romance
117853,Supernatural
78347,Drama
78347,Romance
78347,Sports
67755,Comedy
67755,Slice of Life
67755,Supernatural
32895,Drama
32895,Music
30043,Comedy
30043,Sports
30010,Comedy
30010,Drama
30010,Mystery
30010,Supernatural
143003,Drama
143003,Romance
111258,Comedy
111258,Music
111258,Slice of Life
104677,Drama
104677,Romance
104533,Comedy
104533,Romance
104533,Slice of Life
87262,Action
87262,Drama
87262,Fantasy
87262,Romance
85734,Comedy
85734,Romance
85734,Slice of Life
63031,Action
63031,Drama
63031,Horror
63031,Psychological
63031,Supernatural
63031,Thriller
33285,Action
33285,Psychological
30443,Drama
30443,Psychological
30443,Romance
30443,Thriller
153007,Action
153007,Fantasy
153007,Psychological
145162,Comedy
145162,Psychological
145162,Romance
145162,Supernatural
123126,Action
123126,Drama
123126,Mystery
123126,Supernatural
100094,Comedy
100094,Slice of Life
58393,Drama
58393,Music
58393,Romance
58393,Slice of Life
40884,Sports
31111,Adventure
31111,Comedy
31111,Drama
31111,Psychological
31111,Supernatural
30085,Comedy
30085,Slice of Life
30022,Action
30022,Adventure
30022,Romance
114328,Drama
114328,Romance
114328,Slice of Life
97701,Comedy
97701,Drama
97701,Romance
97701,Slice of Life
96019,Comedy
96019,Drama
96019,Mystery
96019,Supernatural
55096,Comedy
55096,Drama
55096,Slice of Life
53571,Drama
53571,Psychological
53571,Slice of Life
36164,Drama
36164,Slice of Life
30401,Action
30401,Drama
30401,Horror
30401,Psychological
30401,Sci-Fi
175946,Action
175946,Fantasy
143749,Comedy
143749,Drama
143749,Mystery
143749,Psychological
143749,Supernatural
120980,Action
120980,Adventure
120980,Fantasy
120980,Sci-Fi
100932,Romance
97216,Action
97216,Fantasy
85617,Drama
85617,Romance
85617,Slice of Life
38967,Drama
38967,Psychological
38967,Romance
37519,Comedy
37519,Fantasy
37519,Romance
31414,Comedy
31414,Drama
30915,Comedy
30915,Drama
30915,Sports
30704,Action
30704,Adventure
30704,Comedy
30704,Drama
30704,Sci-Fi
160455,Romance
160455,Slice of Life
124139,Drama
97204,Mystery
97204,Supernatural
54692,Action
54692,Adventure
54692,Drama
54692,Romance
54692,Supernatural
34625,Adventure
34625,Drama
34625,Mystery
34625,Psychological
34625,Sports
33009,Action
33009,Adventure
33009,Drama
33009,Supernatural
30868,Adventure
30868,Mystery
143720,Comedy
143720,Drama
143720,Mystery
143720,Psychological
143720,Supernatural
138072,Action
138072,Adventure
138072,Supernatural
135276,Comedy
135276,Romance
116353,Action
116353,Fantasy
111593,Drama
111593,Romance
100954,Drama
100954,Horror
100954,Psychological
100954,Supernatural
100954,Thriller
98620,Comedy
98620,Drama
98620,Romance
98620,Slice of Life
85143,Action
85143,Adventure
85143,Drama
85143,Fantasy
85143,Mystery
31013,Comedy
31013,Drama
31013,Romance
31013,Slice of Life
31013,Sports
142320,Slice of Life
103270,Slice of Life
101557,Comedy
101557,Romance
101557,Slice of Life
101176,Drama
101176,Music
101176,Slice of Life
100994,Action
100994,Adventure
100994,Mystery
100994,Supernatural
100991,Drama
100991,Psychological
100991,Slice of Life
94846,Action
94846,Fantasy
88867,Drama
88867,Slice of Life
88867,Sports
85911,Drama
85911,Mystery
85911,Psychological
85316,Comedy
85316,Drama
85316,Sci-Fi
85316,Slice of Life
76282,Comedy
76282,Drama
76282,Romance
33042,Comedy
33042,Mystery
33042,Slice of Life
30735,Action
30735,Adventure
30735,Comedy
30735,Drama
159212,Action
159212,Adventure
159212,Comedy
159212,Fantasy
159212,Romance
146747,Drama
146747,Mystery
146747,Psychological
146747,Supernatural
146747,Thriller
127217,Drama
127217,Fantasy
127217,Romance
127217,Supernatural
123118,Action
123118,Drama
123118,Mystery
123118,Supernatural
114027,Drama
114027,Psychological
114027,Romance
110803,Fantasy
110803,Slice of Life
106867,Drama
106867,Horror
106867,Mystery
106867,Psychological
106867,Slice of Life
106867,Thriller
104973,Comedy
104973,Fantasy
104973,Mystery
104973,Romance
86265,Action
86265,Sports
37760,Action
37760,Drama
37760,Sports
31075,Adventure
31075,Drama
31075,Horror
31075,Mystery
31075,Psychological
31075,Romance
