manga_id,title_romaji,sales_circulation,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes,sales_source
87423,Yakusoku no Neverland,"42,000,000.00",The Promised Neverland,約束のネバーランド,MANGA,125618,79,8/1/16,6/15/20,FINISHED,181,20,https://en.wikipedia.org/wiki/The_Promised_Neverland
30642,Vinland Saga,"7,000,000.00",Vinland Saga,ヴィンランド・サガ,MANGA,125169,90,4/27/05,7/25/25,FINISHED,220,29,https://en.wikipedia.org/wiki/Vinland_Saga_(manga)
72451,Horimiya,"43,735.00",Horimiya,ホリミヤ,MANGA,114996,82,10/18/11,7/18/23,FINISHED,152,17,https://en.wikipedia.org/wiki/Horimiya
119257,Jeonjijeok Dokja Sijeom,,Omniscient Reader,전지적 독자 시점,MANGA,113625,86,5/26/20,,RELEASING,0,0,https://en.wikipedia.org/wiki/Omniscient_Reader:_The_Prophecy
86635,Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,"22,000,000.00",Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,MANGA,110511,88,5/19/15,11/2/22,FINISHED,281,28,https://en.wikipedia.org/wiki/Kaguya-sama:_Love_Is_War
106130,Blue Lock,"50,000,000.00",Blue Lock,ブルーロック,MANGA,110330,82,8/1/18,,RELEASING,0,0,https://en.wikipedia.org/wiki/Blue_Lock
30012,BLEACH,"130,000,000.00",Bleach,BLEACH,MANGA,108673,79,8/7/01,8/23/16,FINISHED,706,74,https://en.wikipedia.org/wiki/Bleach
132029,Dandadan,"2,000,000.00",Dandadan,ダンダダン,MANGA,102718,83,4/6/21,,RELEASING,0,0,https://en.wikipedia.org/wiki/Dandadan
97852,"Komi-san wa, Komyushou desu.","16,000,000.00",Komi Can't Communicate,古見さんは、コミュ症です。,MANGA,100852,77,5/18/16,1/29/25,FINISHED,537,37,https://en.wikipedia.org/wiki/Komi_Can%27t_Communicate
86123,Black Clover,"24,000,000.00",Black Clover,ブラッククローバー,MANGA,98369,77,2/16/15,,RELEASING,0,0,https://en.wikipedia.org/wiki/Black_Clover
30026,HUNTER×HUNTER,"84,000,000.00",Hunter x Hunter,HUNTER×HUNTER,MANGA,98232,88,3/3/98,,RELEASING,0,0,https://en.wikipedia.org/wiki/Hunter_%C3%97_Hunter
117195,[Oshi no Ko],"20,000,000.00",[Oshi no Ko],【推しの子】,MANGA,97591,78,4/23/20,11/14/24,FINISHED,168,16,
